",title,ticket_price,Day of the Week,Theater Type"
"995,Beautiful Creatures,534.2,Weekend,multiplex"
"996,Death to Smoochy,563.23,Weekday,single screen"
"997,Zoolander 2,309.81,Weekend,multiplex"
"998,The Big Bounce,125.31,Weekday,multiplex"
"999,What Planet Are You From?,119.7,Weekday,single screen"
"1000,Drive Angry,386.97,Weekday,multiplex"
"1001,Street Fighter: The Legend of Chun-Li,296.45,Weekday,single screen"
"1002,The One,114.33,Weekend,multiplex"
"1003,The Adventures of Ford Fairlane,391.63,Weekday,single screen"
"1004,The Boat That Rocked,105.65,Weekday,multiplex"
"1005,Traffic,493.69,Weekday,single screen"
"1006,Indiana Jones and the Last Crusade,253.22,Weekday,multiplex"
"1007,Anna Karenina,120.13,Weekend,multiplex"
"1008,Chappie,234.0,Weekday,single screen"
"1009,The Bone Collector,184.86,Weekend,single screen"
"1010,Panic Room,109.57,Weekend,multiplex"
"1011,The Tooth Fairy,489.55,Weekday,multiplex"
"1012,Three Kings,404.85,Weekend,single screen"
"1013,Child 44,449.82,Weekend,single screen"
"1014,Rat Race,519.08,Weekend,multiplex"
"1015,K-PAX,501.41,Weekday,single screen"
"1016,Kate & Leopold,580.46,Weekend,multiplex"
"1017,Bedazzled,367.97,Weekend,multiplex"
"1018,The Cotton Club,344.25,Weekend,single screen"
"1019,3:10 to Yuma,300.94,Weekday,single screen"
"1020,Taken 3,176.85,Weekend,single screen"
"1021,Out of Sight,386.3,Weekday,single screen"
"1022,The Cable Guy,238.51,Weekday,single screen"
"1023,Earth,560.65,Weekday,multiplex"
"1024,Dick Tracy,391.6,Weekday,multiplex"
"1025,The Thomas Crown Affair,396.42,Weekday,single screen"
"1026,Riding in Cars with Boys,277.46,Weekday,single screen"
"1027,First Blood,125.99,Weekend,single screen"
"1028,Solaris,115.87,Weekday,multiplex"
"1029,Happily N'Ever After,311.67,Weekend,single screen"
"1030,Mary Reilly,142.28,Weekend,single screen"
"1031,My Best Friend's Wedding,403.42,Weekday,multiplex"
"1032,America's Sweethearts,540.49,Weekend,multiplex"
"1033,Insomnia,541.46,Weekend,single screen"
"1034,Star Trek: First Contact,429.52,Weekend,single screen"
"1035,Jonah Hex,205.62,Weekend,single screen"
"1036,Courage Under Fire,531.5,Weekday,multiplex"
"1037,Liar Liar,543.05,Weekend,single screen"
"1038,The Infiltrator,198.33,Weekday,single screen"
"1039,Inchon,468.71,Weekend,single screen"
"1040,The Flintstones,243.26,Weekend,multiplex"
"1041,Taken 2,501.32,Weekday,multiplex"
"1042,Scary Movie 3,598.62,Weekend,single screen"
"1043,Miss Congeniality,115.01,Weekend,single screen"
"1044,Journey to the Center of the Earth,548.68,Weekend,multiplex"
"1045,The Princess Diaries 2: Royal Engagement,411.32,Weekday,multiplex"
"1046,The Pelican Brief,586.69,Weekend,multiplex"
"1047,The Client,332.5,Weekday,multiplex"
"1048,The Bucket List,523.69,Weekend,multiplex"
"1049,Patriot Games,131.2,Weekday,multiplex"
"1050,Monster-in-Law,267.64,Weekday,multiplex"
"1051,Prisoners,133.51,Weekend,multiplex"
"1052,Training Day,587.67,Weekend,multiplex"
"1053,Galaxy Quest,508.49,Weekday,single screen"
"1054,Scary Movie 2,526.27,Weekday,single screen"
"1055,The Muppets,568.98,Weekend,single screen"
"1056,Blade,142.55,Weekday,multiplex"
"1057,Coach Carter,292.8,Weekend,single screen"
"1058,Changing Lanes,135.52,Weekend,multiplex"
"1059,Anaconda,205.4,Weekend,multiplex"
"1060,Coyote Ugly,214.68,Weekend,single screen"
"1061,Love Actually,334.55,Weekday,multiplex"
"1062,A Bug's Life,234.28,Weekend,single screen"
"1063,From Hell,150.49,Weekday,single screen"
"1064,The Specialist,183.75,Weekend,single screen"
"1065,Tin Cup,173.64,Weekday,multiplex"
"1066,""Yours, Mine and Ours"",586.54,Weekend,single screen"
"1067,Kicking & Screaming,479.65,Weekday,multiplex"
"1068,The Hitchhiker's Guide to the Galaxy,583.88,Weekday,single screen"
"1069,Fat Albert,319.87,Weekend,single screen"
"1070,Resident Evil: Extinction,239.18,Weekend,single screen"
"1071,Blended,499.15,Weekend,multiplex"
"1072,Last Holiday,263.13,Weekend,multiplex"
"1073,The River Wild,249.69,Weekday,multiplex"
"1074,The Indian in the Cupboard,216.25,Weekend,single screen"
"1075,Savages,164.84,Weekday,single screen"
"1076,Cellular,228.23,Weekday,multiplex"
"1077,Johnny English,277.66,Weekend,multiplex"
"1078,The Ant Bully,437.0,Weekday,multiplex"
"1079,Dune,131.28,Weekday,multiplex"
"1080,Across the Universe,205.25,Weekday,multiplex"
"1081,Revolutionary Road,504.51,Weekday,multiplex"
"1082,16 Blocks,173.46,Weekend,single screen"
"1083,Babylon A.D.,271.32,Weekend,multiplex"
"1084,The Glimmer Man,532.33,Weekend,single screen"
"1085,Multiplicity,177.46,Weekend,single screen"
"1086,Aliens in the Attic,141.37,Weekday,multiplex"
"1087,The Pledge,342.27,Weekday,multiplex"
"1088,The Producers,251.21,Weekend,single screen"
"1089,The Phantom,381.7,Weekend,multiplex"
"1090,All the Pretty Horses,501.9,Weekend,multiplex"
"1091,Nixon,168.57,Weekday,single screen"
"1092,The Ghost Writer,390.35,Weekend,single screen"
"1093,Deep Rising,352.75,Weekend,single screen"
"1094,Miracle at St. Anna,172.04,Weekend,multiplex"
"1095,Curse of the Golden Flower,412.0,Weekday,single screen"
"1096,Bangkok Dangerous,236.82,Weekday,multiplex"
"1097,Big Trouble,343.92,Weekday,single screen"
"1098,Love in the Time of Cholera,141.14,Weekday,single screen"
"1099,Shadow Conspiracy,329.79,Weekday,single screen"
"1100,Johnny English Reborn,253.23,Weekday,multiplex"
"1101,Foodfight!,511.19,Weekday,multiplex"
"1102,Argo,128.49,Weekday,single screen"
"1103,The Fugitive,309.3,Weekend,single screen"
"1104,The Bounty Hunter,329.22,Weekend,single screen"
"1105,Sleepers,462.5,Weekday,multiplex"
"1106,Rambo: First Blood Part II,387.14,Weekday,single screen"
"1107,The Juror,433.61,Weekend,multiplex"
"1108,Pinocchio,488.52,Weekday,single screen"
"1109,Heaven's Gate,531.1,Weekday,single screen"
"1110,Underworld: Evolution,256.94,Weekday,single screen"
"1111,Victor Frankenstein,369.01,Weekend,single screen"
"1112,Finding Forrester,520.05,Weekend,single screen"
"1113,28 Days,594.73,Weekend,single screen"
"1114,Unleashed,544.76,Weekend,multiplex"
"1115,The Sweetest Thing,285.73,Weekend,single screen"
"1116,The Firm,197.58,Weekday,multiplex"
"1117,Charlie St. Cloud,344.7,Weekend,single screen"
"1118,The Mechanic,470.82,Weekday,single screen"
"1119,21 Jump Street,346.28,Weekday,multiplex"
"1120,Notting Hill,341.59,Weekend,single screen"
"1121,Chicken Run,519.12,Weekend,multiplex"
"1122,Along Came Polly,280.7,Weekday,multiplex"
"1123,Boomerang,529.9,Weekday,single screen"
"1124,The Heat,303.4,Weekday,multiplex"
"1125,Cleopatra,264.12,Weekend,multiplex"
"1126,Here Comes the Boom,326.99,Weekend,single screen"
"1127,High Crimes,481.22,Weekend,multiplex"
"1128,The Mirror Has Two Faces,163.0,Weekend,single screen"
"1129,The Mothman Prophecies,198.21,Weekend,single screen"
"1130,Brüno,575.72,Weekday,single screen"
"1131,Licence to Kill,187.75,Weekend,single screen"
"1132,Red Riding Hood,383.86,Weekday,multiplex"
"1133,15 Minutes,389.66,Weekday,single screen"
"1134,Super Mario Bros.,344.81,Weekday,single screen"
"1135,Lord of War,422.37,Weekend,multiplex"
"1136,Hero,214.91,Weekend,single screen"
"1137,One for the Money,376.33,Weekend,single screen"
"1138,The Interview,286.09,Weekday,multiplex"
"1139,The Warrior's Way,430.83,Weekday,multiplex"
"1140,Micmacs,170.61,Weekday,multiplex"
"1141,8 Mile,385.44,Weekday,multiplex"
"1142,Why I Did (Not) Eat My Father,192.64,Weekday,multiplex"
"1143,A Knight's Tale,239.32,Weekday,multiplex"
"1144,The Medallion,209.35,Weekend,multiplex"
"1145,The Sixth Sense,191.42,Weekend,single screen"
"1146,Man on a Ledge,512.86,Weekend,multiplex"
"1147,The Big Year,242.85,Weekend,multiplex"
"1148,The Karate Kid,563.56,Weekday,multiplex"
"1149,American Hustle,584.96,Weekday,single screen"
"1150,The Proposal,242.0,Weekend,single screen"
"1151,Double Jeopardy,187.0,Weekday,multiplex"
"1152,Back to the Future Part II,171.5,Weekend,multiplex"
"1153,Lucy,287.27,Weekend,multiplex"
"1154,Fifty Shades of Grey,498.87,Weekend,single screen"
"1155,Spy Kids 3-D: Game Over,283.7,Weekday,single screen"
"1156,A Time to Kill,143.51,Weekend,multiplex"
"1157,Cheaper by the Dozen,378.39,Weekend,single screen"
"1158,Lone Survivor,522.56,Weekend,multiplex"
"1159,A League of Their Own,497.96,Weekday,single screen"
"1160,The Conjuring 2,187.56,Weekday,single screen"
"1161,The Social Network,436.38,Weekend,multiplex"
"1162,He's Just Not That Into You,210.25,Weekday,multiplex"
"1163,Scary Movie 4,209.1,Weekday,multiplex"
"1164,Scream 3,537.04,Weekday,multiplex"
"1165,Back to the Future Part III,224.83,Weekday,single screen"
"1166,Get Hard,231.62,Weekday,single screen"
"1167,Dracula,100.33,Weekday,single screen"
"1168,Julie & Julia,535.33,Weekday,multiplex"
"1169,42,496.3,Weekday,single screen"
"1170,The Talented Mr. Ripley,413.66,Weekday,multiplex"
"1171,Dumb and Dumber To,475.13,Weekday,single screen"
"1172,Eight Below,176.02,Weekend,multiplex"
"1173,The Intern,329.16,Weekend,multiplex"
"1174,Ride Along 2,275.61,Weekday,single screen"
"1175,The Last of the Mohicans,146.89,Weekend,multiplex"
"1176,Ray,343.07,Weekend,multiplex"
"1177,Sin City,560.37,Weekday,single screen"
"1178,Vantage Point,120.03,Weekday,multiplex"
"1179,""I Love You, Man"",245.73,Weekday,multiplex"
"1180,Shallow Hal,203.77,Weekend,multiplex"
"1181,JFK,219.07,Weekend,single screen"
"1182,Big Momma's House 2,554.22,Weekday,single screen"
"1183,The Mexican,334.03,Weekday,multiplex"
"1184,17 Again,333.15,Weekday,single screen"
"1185,The Other Woman,480.29,Weekend,multiplex"
"1186,The Final Destination,177.25,Weekend,multiplex"
"1187,Bridge of Spies,343.63,Weekend,multiplex"
"1188,Behind Enemy Lines,314.99,Weekend,multiplex"
"1189,Get Him to the Greek,398.46,Weekday,multiplex"
"1190,Shall We Dance?,599.78,Weekday,single screen"
"1191,Small Soldiers,484.72,Weekday,multiplex"
"1192,Spawn,298.93,Weekday,single screen"
"1193,The Count of Monte Cristo,513.78,Weekend,single screen"
"1194,The Lincoln Lawyer,185.35,Weekend,multiplex"
"1195,Unknown,115.23,Weekday,multiplex"
"1196,The Prestige,202.22,Weekday,single screen"
"1197,Horrible Bosses 2,270.21,Weekend,single screen"
"1198,Escape from Planet Earth,355.29,Weekday,single screen"
"1199,Apocalypto,407.56,Weekend,multiplex"
"1200,The Living Daylights,555.3,Weekday,single screen"
"1201,Predators,354.93,Weekday,multiplex"
"1202,Legal Eagles,350.64,Weekday,multiplex"
"1203,Secret Window,125.12,Weekday,multiplex"
"1204,The Lake House,117.46,Weekday,single screen"
"1205,The Skeleton Key,375.58,Weekday,multiplex"
"1206,The Odd Life of Timothy Green,319.09,Weekday,multiplex"
"1207,Made of Honor,519.59,Weekend,multiplex"
"1208,Jersey Boys,180.34,Weekend,multiplex"
"1209,The Rainmaker,112.49,Weekend,multiplex"
"1210,Gothika,324.52,Weekend,single screen"
"1211,Amistad,218.74,Weekend,multiplex"
"1212,Medicine Man,124.81,Weekday,multiplex"
"1213,Aliens vs Predator: Requiem,462.3,Weekday,single screen"
"1214,Ri¢hie Ri¢h,155.8,Weekend,multiplex"
"1215,Autumn in New York,404.16,Weekday,single screen"
"1216,Music and Lyrics,240.52,Weekend,multiplex"
"1217,Paul,186.75,Weekend,single screen"
"1218,The Guilt Trip,289.88,Weekday,single screen"
"1219,Scream 4,500.72,Weekday,multiplex"
"1220,8MM,296.05,Weekday,multiplex"
"1221,The Doors,475.38,Weekend,multiplex"
"1222,Sex Tape,162.74,Weekday,single screen"
"1223,Hanging Up,486.39,Weekend,single screen"
"1224,Final Destination 5,218.47,Weekend,single screen"
"1225,Mickey Blue Eyes,438.7,Weekend,multiplex"
"1226,Pay It Forward,382.89,Weekday,single screen"
"1227,Fever Pitch,564.57,Weekday,single screen"
"1228,Drillbit Taylor,293.66,Weekend,multiplex"
"1229,A Million Ways to Die in the West,133.08,Weekday,single screen"
"1230,The Shadow,109.58,Weekday,single screen"
"1231,Extremely Loud & Incredibly Close,513.43,Weekday,multiplex"
"1232,Morning Glory,362.37,Weekend,single screen"
"1233,Get Rich or Die Tryin',487.62,Weekend,multiplex"
"1234,The Art of War,217.21,Weekday,multiplex"
"1235,Rent,272.54,Weekend,multiplex"
"1236,Bless the Child,115.05,Weekday,multiplex"
"1237,The Out-of-Towners,580.75,Weekday,multiplex"
"1238,The Island of Dr. Moreau,433.93,Weekday,single screen"
"1239,The Musketeer,566.6,Weekday,single screen"
"1240,The Other Boleyn Girl,232.75,Weekend,multiplex"
"1241,Sweet November,405.73,Weekend,multiplex"
"1242,The Reaping,439.25,Weekend,single screen"
"1243,Mean Streets,258.77,Weekday,multiplex"
"1244,Renaissance Man,524.05,Weekday,multiplex"
"1245,Colombiana,573.58,Weekday,multiplex"
"1246,Quest for Camelot,542.43,Weekend,single screen"
"1247,City By The Sea,469.53,Weekday,single screen"
"1248,At First Sight,238.73,Weekend,multiplex"
"1249,Torque,240.81,Weekend,multiplex"
"1250,City Hall,581.68,Weekend,single screen"
"1251,Showgirls,105.14,Weekend,single screen"
"1252,Marie Antoinette,458.02,Weekend,multiplex"
"1253,Kiss of Death,453.12,Weekend,multiplex"
"1254,Get Carter,411.34,Weekday,single screen"
"1255,The Impossible,595.05,Weekday,single screen"
"1256,Ishtar,255.94,Weekend,single screen"
"1257,Fantastic Mr. Fox,269.99,Weekend,multiplex"
"1258,Life or Something Like It,139.47,Weekday,single screen"
"1259,Memoirs of an Invisible Man,321.4,Weekend,multiplex"
"1260,Amélie,230.52,Weekend,single screen"
"1261,New York Minute,271.69,Weekday,single screen"
"1262,Alfie,517.29,Weekend,single screen"
"1263,Big Miracle,567.74,Weekend,single screen"
"1264,The Deep End of the Ocean,192.87,Weekend,multiplex"
"1265,FearDotCom,286.25,Weekday,multiplex"
"1266,Cirque du Freak: The Vampire's Assistant,564.32,Weekday,single screen"
"1267,Duplex,130.9,Weekday,multiplex"
"1268,Soul Men,146.18,Weekend,single screen"
"1269,Raise the Titanic,181.4,Weekend,single screen"
"1270,Universal Soldier: The Return,397.61,Weekday,single screen"
"1271,Pandorum,175.24,Weekend,single screen"
"1272,Impostor,584.04,Weekend,multiplex"
"1273,Extreme Ops,323.36,Weekend,single screen"
"1274,Just Visiting,350.76,Weekend,single screen"
"1275,Sunshine,223.33,Weekend,multiplex"
"1276,A Thousand Words,335.48,Weekday,single screen"
"1277,Delgo,430.96,Weekend,single screen"
"1278,The Gunman,475.59,Weekday,single screen"
"1279,Stormbreaker,476.93,Weekend,multiplex"
"1280,Disturbia,388.95,Weekday,single screen"
"1281,Hackers,552.18,Weekend,multiplex"
"1282,The Hunting Party,508.7,Weekday,single screen"
"1283,The Hudsucker Proxy,478.52,Weekend,single screen"
"1284,The Warlords,127.8,Weekday,multiplex"
"1285,Nomad: The Warrior,103.44,Weekend,single screen"
"1286,Snowpiercer,206.22,Weekday,single screen"
"1287,A Monster in Paris,431.76,Weekend,multiplex"
"1288,The Last Shot,305.6,Weekday,multiplex"
"1289,The Crow,301.2,Weekday,multiplex"
"1290,Baahubali: The Beginning,542.29,Weekend,multiplex"
"1291,The Time Traveler's Wife,547.78,Weekend,multiplex"
"1292,Because I Said So,554.59,Weekday,single screen"
"1293,Frankenweenie,256.94,Weekend,multiplex"
"1294,Serenity,445.53,Weekday,single screen"
"1295,Against the Ropes,235.82,Weekday,single screen"
"1296,Superman III,195.3,Weekday,single screen"
"1297,Grudge Match,192.32,Weekend,multiplex"
"1298,Red Cliff,271.05,Weekday,multiplex"
"1299,Sweet Home Alabama,314.98,Weekday,single screen"
"1300,The Ugly Truth,515.47,Weekend,multiplex"
"1301,Sgt. Bilko,159.95,Weekend,multiplex"
"1302,Spy Kids 2: The Island of Lost Dreams,467.46,Weekend,multiplex"
"1303,Star Trek: Generations,365.73,Weekend,multiplex"
"1304,The Grandmaster,243.97,Weekday,single screen"
"1305,Water for Elephants,346.41,Weekday,single screen"
"1306,Dragon Nest: Warriors' Dawn,249.97,Weekday,multiplex"
"1307,The Hurricane,398.04,Weekday,single screen"
"1308,Enough,316.92,Weekend,multiplex"
"1309,Heartbreakers,182.2,Weekday,multiplex"
"1310,Paul Blart: Mall Cop 2,158.29,Weekday,single screen"
"1311,Angel Eyes,373.35,Weekend,single screen"
"1312,Joe Somebody,551.21,Weekday,single screen"
"1313,The Ninth Gate,271.98,Weekday,multiplex"
"1314,Extreme Measures,466.5,Weekday,single screen"
"1315,Rock Star,429.33,Weekday,multiplex"
"1316,Precious,565.78,Weekday,single screen"
"1317,White Squall,510.49,Weekday,single screen"
"1318,The Thing,383.3,Weekend,multiplex"
"1319,Riddick,428.52,Weekend,multiplex"
"1320,Switchback,549.19,Weekday,multiplex"
"1321,Texas Rangers,299.76,Weekday,multiplex"
"1322,City of Ember,263.4,Weekend,multiplex"
"1323,The Master,105.41,Weekday,multiplex"
"1324,Virgin Territory,513.28,Weekday,multiplex"
"1325,The Express,500.49,Weekday,multiplex"
"1326,The 5th Wave,152.23,Weekend,single screen"
"1327,Creed,388.43,Weekday,multiplex"
"1328,The Town,331.99,Weekend,multiplex"
"1329,What to Expect When You're Expecting,159.35,Weekday,single screen"
"1330,Burn After Reading,590.28,Weekend,multiplex"
"1331,Nim's Island,207.35,Weekend,single screen"
"1332,Rush,133.62,Weekday,single screen"
"1333,Magnolia,397.42,Weekend,multiplex"
"1334,Cop Out,469.43,Weekday,single screen"
"1335,How to Be Single,116.22,Weekend,multiplex"
"1336,Dolphin Tale,429.36,Weekday,single screen"
"1337,Twilight,366.15,Weekday,single screen"
"1338,John Q,151.63,Weekend,single screen"
"1339,Blue Streak,186.26,Weekday,multiplex"
"1340,We're the Millers,383.99,Weekday,multiplex"
"1341,The Inhabited Island,248.18,Weekend,single screen"
"1342,Breakdown,569.16,Weekday,single screen"
"1343,Never Say Never Again,509.37,Weekday,multiplex"
"1344,Hot Tub Time Machine,591.78,Weekend,multiplex"
"1345,Dolphin Tale 2,229.84,Weekend,single screen"
"1346,Reindeer Games,584.86,Weekday,single screen"
"1347,A Man Apart,315.62,Weekday,multiplex"
"1348,Aloha,273.76,Weekend,multiplex"
"1349,Ghosts of Mississippi,125.17,Weekend,multiplex"
"1350,Snow Falling on Cedars,126.38,Weekday,multiplex"
"1351,The Rite,446.01,Weekend,multiplex"
"1352,Gattaca,328.96,Weekday,single screen"
"1353,Isn't She Great,213.26,Weekday,multiplex"
"1354,Space Chimps,406.99,Weekday,single screen"
"1355,Head of State,226.43,Weekday,multiplex"
"1356,The Hangover,388.82,Weekday,single screen"
"1357,Ip Man 3,279.6,Weekend,multiplex"
"1358,Austin Powers: The Spy Who Shagged Me,511.78,Weekend,multiplex"
"1359,Batman,510.35,Weekend,single screen"
"1360,There Be Dragons,338.68,Weekend,single screen"
"1361,Lethal Weapon 3,275.41,Weekday,multiplex"
"1362,The Blind Side,281.28,Weekday,multiplex"
"1363,Spy Kids,502.86,Weekday,multiplex"
"1364,Horrible Bosses,264.09,Weekday,multiplex"
"1365,True Grit,204.53,Weekend,multiplex"
"1366,The Devil Wears Prada,142.34,Weekday,single screen"
"1367,Star Trek: The Motion Picture,333.35,Weekday,single screen"
"1368,Identity Thief,341.07,Weekend,multiplex"
"1369,Cape Fear,520.45,Weekend,single screen"
"1370,21,210.62,Weekend,single screen"
"1371,Trainwreck,290.5,Weekend,single screen"
"1372,Guess Who,504.2,Weekday,multiplex"
"1373,The English Patient,511.81,Weekday,single screen"
"1374,L.A. Confidential,292.31,Weekend,multiplex"
"1375,Sky High,329.56,Weekday,single screen"
"1376,In & Out,251.64,Weekday,multiplex"
"1377,Species,566.28,Weekday,single screen"
"1378,A Nightmare on Elm Street,159.32,Weekend,multiplex"
"1379,The Cell,566.87,Weekday,multiplex"
"1380,The Man in the Iron Mask,441.93,Weekend,single screen"
"1381,Secretariat,365.79,Weekday,multiplex"
"1382,TMNT,116.33,Weekday,multiplex"
"1383,Radio,337.8,Weekday,multiplex"
"1384,Friends with Benefits,303.87,Weekend,multiplex"
"1385,Neighbors 2: Sorority Rising,180.61,Weekday,multiplex"
"1386,Saving Mr. Banks,428.2,Weekend,multiplex"
"1387,Malcolm X,585.58,Weekend,multiplex"
"1388,This Is 40,381.09,Weekend,multiplex"
"1389,Old Dogs,457.38,Weekday,single screen"
"1390,Underworld: Rise of the Lycans,134.23,Weekday,single screen"
"1391,License to Wed,308.83,Weekday,multiplex"
"1392,The Benchwarmers,158.18,Weekday,multiplex"
"1393,Must Love Dogs,406.4,Weekend,single screen"
"1394,Donnie Brasco,569.24,Weekend,single screen"
"1395,Resident Evil,430.89,Weekend,single screen"
"1396,Poltergeist,138.4,Weekday,multiplex"
"1397,The Ladykillers,277.33,Weekend,single screen"
"1398,Max Payne,375.33,Weekday,multiplex"
"1399,In Time,301.6,Weekend,multiplex"
"1400,The Back-Up Plan,516.82,Weekday,single screen"
"1401,Something Borrowed,507.34,Weekday,multiplex"
"1402,Black Knight,405.92,Weekend,multiplex"
"1403,The Bad News Bears,286.73,Weekend,multiplex"
"1404,Street Fighter,227.67,Weekend,multiplex"
"1405,The Pianist,152.94,Weekend,single screen"
"1406,The Nativity Story,277.45,Weekday,single screen"
"1407,House of Wax,306.59,Weekend,multiplex"
"1408,Closer,437.91,Weekend,multiplex"
"1409,J. Edgar,429.08,Weekend,single screen"
"1410,Mirrors,135.05,Weekday,multiplex"
"1411,Queen of the Damned,297.63,Weekday,single screen"
"1412,Predator 2,190.89,Weekend,multiplex"
"1413,Untraceable,178.41,Weekday,multiplex"
"1414,Blast from the Past,513.65,Weekend,single screen"
"1415,Flash Gordon,120.96,Weekday,single screen"
"1416,Jersey Girl,309.59,Weekday,single screen"
"1417,Alex Cross,184.1,Weekday,single screen"
"1418,Midnight in the Garden of Good and Evil,539.67,Weekday,multiplex"
"1419,Heist,378.52,Weekend,single screen"
"1420,Nanny McPhee and the Big Bang,215.69,Weekend,multiplex"
"1421,Hoffa,351.21,Weekend,single screen"
"1422,The X Files: I Want to Believe,465.74,Weekday,single screen"
"1423,Ella Enchanted,579.06,Weekend,multiplex"
"1424,Concussion,210.22,Weekend,single screen"
"1425,Abduction,543.09,Weekend,single screen"
"1426,Valiant,567.15,Weekday,single screen"
"1427,Wonder Boys,558.21,Weekday,single screen"
"1428,Superhero Movie,417.71,Weekday,multiplex"
"1429,Broken City,414.91,Weekend,multiplex"
"1430,Cursed,301.61,Weekend,single screen"
"1431,Premium Rush,476.2,Weekend,single screen"
"1432,Hot Pursuit,365.65,Weekday,single screen"
"1433,The Four Feathers,438.72,Weekday,multiplex"
"1434,Parker,314.23,Weekend,multiplex"
"1435,Wimbledon,465.75,Weekday,multiplex"
"1436,Furry Vengeance,512.24,Weekday,multiplex"
"1437,Bait,173.22,Weekday,single screen"
"1438,Krull,516.46,Weekday,single screen"
"1439,Lions for Lambs,370.15,Weekend,single screen"
"1440,Flight of the Intruder,522.33,Weekday,multiplex"
"1441,Walk Hard: The Dewey Cox Story,315.65,Weekday,single screen"
"1442,The Shipping News,289.52,Weekday,multiplex"
"1443,American Outlaws,557.53,Weekday,multiplex"
"1444,The Young Victoria,225.58,Weekend,single screen"
"1445,Whiteout,522.11,Weekend,single screen"
"1446,The Tree of Life,342.01,Weekday,single screen"
"1447,Knock Off,357.05,Weekday,multiplex"
"1448,Sabotage,254.23,Weekday,multiplex"
"1449,The Order,386.52,Weekday,single screen"
"1450,Punisher: War Zone,262.61,Weekday,single screen"
"1451,Zoom,119.63,Weekday,multiplex"
"1452,The Walk,236.0,Weekend,single screen"
"1453,Warriors of Virtue,103.19,Weekday,multiplex"
"1454,A Good Year,589.18,Weekend,multiplex"
"1455,Radio Flyer,582.87,Weekend,single screen"
"1456,Bound by Honor,297.58,Weekday,single screen"
"1457,Smilla's Sense of Snow,464.19,Weekend,single screen"
"1458,Femme Fatale,272.9,Weekend,single screen"
"1459,Lion of the Desert,435.55,Weekend,multiplex"
"1460,The Horseman on the Roof,502.72,Weekend,multiplex"
"1461,Ride with the Devil,573.38,Weekend,multiplex"
"1462,Biutiful,300.11,Weekend,single screen"
"1463,Bandidas,491.65,Weekday,multiplex"
"1464,Black Water Transit,232.96,Weekend,single screen"
"1465,The Maze Runner,595.17,Weekend,single screen"
"1466,Unfinished Business,112.88,Weekend,single screen"
"1467,The Age of Innocence,401.76,Weekday,single screen"
"1468,The Fountain,429.75,Weekend,single screen"
"1469,Chill Factor,444.02,Weekday,single screen"
"1470,Stolen,160.19,Weekend,multiplex"
"1471,Ponyo,569.26,Weekday,single screen"
"1472,The Longest Ride,190.59,Weekday,multiplex"
"1473,The Astronaut's Wife,411.38,Weekend,multiplex"
"1474,I Dreamed of Africa,211.34,Weekend,single screen"
"1475,Playing for Keeps,253.61,Weekday,single screen"
"1476,Mandela: Long Walk to Freedom,373.23,Weekend,single screen"
"1477,Reds,308.6,Weekday,multiplex"
"1478,A Few Good Men,180.11,Weekday,single screen"
"1479,Exit Wounds,185.47,Weekday,multiplex"
"1480,Big Momma's House,309.07,Weekday,single screen"
"1481,Thunder and the House of Magic,478.64,Weekday,single screen"
"1482,The Darkest Hour,548.98,Weekend,multiplex"
"1483,Step Up Revolution,142.06,Weekday,multiplex"
"1484,Snakes on a Plane,296.55,Weekday,single screen"
"1485,The Watcher,150.12,Weekend,multiplex"
"1486,The Punisher,108.3,Weekday,multiplex"
"1487,Goal!: The Dream Begins,430.86,Weekend,multiplex"
"1488,Safe,401.22,Weekend,multiplex"
"1489,Pushing Tin,181.51,Weekend,multiplex"
"1490,Return of the Jedi,216.91,Weekday,single screen"
"1491,Doomsday,111.85,Weekday,single screen"
"1492,The Reader,517.47,Weekday,multiplex"
"1493,Wanderlust,587.35,Weekend,single screen"
"1494,Elf,167.73,Weekday,single screen"
"1495,Phenomenon,215.74,Weekend,multiplex"
"1496,Snow Dogs,534.2,Weekday,single screen"
"1497,Scrooged,563.23,Weekend,multiplex"
"1498,Nacho Libre,309.81,Weekday,multiplex"
"1499,Bridesmaids,125.31,Weekday,single screen"
"1500,This Is the End,119.7,Weekday,multiplex"
"1501,Stigmata,386.97,Weekday,single screen"
"1502,Men of Honor,296.45,Weekend,multiplex"
"1503,Takers,114.33,Weekday,single screen"
"1504,The Big Wedding,391.63,Weekday,multiplex"
"1505,""Big Mommas: Like Father, Like Son"",105.65,Weekday,single screen"
"1506,Source Code,493.69,Weekday,multiplex"
"1507,Alive,253.22,Weekend,multiplex"
"1508,The Number 23,120.13,Weekday,single screen"
"1509,The Young and Prodigious T.S. Spivet,234.0,Weekend,single screen"
"1510,1941,184.86,Weekend,multiplex"
"1511,Dreamer: Inspired By a True Story,109.57,Weekday,multiplex"
"1512,A History of Violence,489.55,Weekend,single screen"
"1513,Transporter 2,404.85,Weekend,single screen"
"1514,The Quick and the Dead,449.82,Weekend,multiplex"
"1515,Laws of Attraction,519.08,Weekday,single screen"
"1516,Bringing Out the Dead,501.41,Weekend,multiplex"
"1517,Repo Men,580.46,Weekend,multiplex"
"1518,Dragon Wars: D-War,367.97,Weekend,single screen"
"1519,Bogus,344.25,Weekday,single screen"
"1520,The Incredible Burt Wonderstone,300.94,Weekend,single screen"
"1521,Cats Don't Dance,176.85,Weekday,single screen"
